name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
A Vogel Devils Claw Harpagophytum,,", dan Efek Samping"",""meta_description"":""Informasi lengkap obat Vitamin B Kompleks IPI; Harga, Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""type"":""obat"",""media_images"":[{""original"":""https://asset-cdn.medkom",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/a-vogel-devils-claw-harpagophytum
A-B Vask,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-hipertensi/ab-vask
Abajos,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antinyeri/abajos
Abate,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/d2jcsq82NlrdCmja0s9c9/original/025100100_1602140069-shutterstock_1354413635.jpg,https://www.klikdokter.com/obat/obat-lainnya/abate
Abbotic,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antibiotik/abbotic
ABC Menthol Cone,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/abc-menthol-cone
Abdelyn,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/abdelyn
Abetens,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/abetens
Abilify,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/vylgTaBqAGi2qLk1RJb17/original/075795400_1641867355-bipolar.jpg,https://www.klikdokter.com/obat/obat-gangguan-saraf-pusat/abilify
Abirom,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/aSNcTnD2fT3ExehvRcYll/original/025650300_1593763517-Sering-Sesak-Napas-Hati-hati_-Gejala-Hipertensi-Paru-shutterstock_1716789742.jpg,https://www.klikdokter.com/obat/obat-antibiotik/abirom
Abixa,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-gangguan-saraf-pusat/abixa
Abixim,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antibiotik/abixim
Abu Ali,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/abu-ali
Abufen C,,", Dosis, Cara Pakai dan Efek Samping"",""meta_description"":""Tramadol adalah obat untuk mengatasi nyeri yang bersifat sedang hingga berat. Cari tau Dosis \u0026 Cara pakai, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publish",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri,Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/zqTjt2D57X7LfjGOQV0oU/original/052048900_1483448302-topic_article_Kenali-Gaya-Hidup-Penyebab-Radang-Sendi.jpg,https://www.klikdokter.com/obat/obat-antinyeri/abufen-c
Acai Plus,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/acai-plus
Acamprosate,,", Dosis, dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis, dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/klMeONiQjwB_FvSTL8f1n/original/027406700_1639656294-Sederet_Dampak_Buruk_Ketoasidosis_Alkoholik_bagi_Kesehatan.jpg,https://www.klikdokter.com/obat/obat-antiracun/acamprosate
Acarbose,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/tknv9ewbVJuGaDRorlaSm/original/OBT0005000.jpg,https://www.klikdokter.com/obat/obat-diabetes/acarbose
Acdat,,", Dosis, dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis, dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/mkYenL1WLyKJi_luS_kGl/original/1676883409-Untitled%20design%2895%29.jpg,https://www.klikdokter.com/obat/obat-antibiotik/acdat
Ace Max's,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/ace-maxs
Acebutolol,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/8J19M1FSGqZgs7w_Z5i1W/original/003313400_1593768897-Pengertian-Hipertensi-shutterstock_366528356.jpg,https://www.klikdokter.com/obat/obat-hipertensi/acebutolol
Acelaxon,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antiinflamasi/acelaxon
Acepress,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-hipertensi/acepress
Acetensa,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-hipertensi/acetensa
Acetin,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/acetin
Acetram,,", Dosis, dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis, dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/Mka4FC2JwWy40NDaS5htY/original/6l5fj20v5uzxwnq82o80yoop0pydc2zx.jpeg,https://www.klikdokter.com/obat/obat-antinyeri/acetram
Acetro,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/acetro
Acetylcysteine,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/acetylcysteine
Aciblock,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Pencernaan & Diare,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/aciblock
Acifar,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kulit/acifar
Acilaz,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Pencernaan & Diare,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/jXDyzf1bsG8_w5x_VKUyn/original/056432800_1576490752-Penyebab-Masalah-Asam-Lambung-Sering-Kambuh-di-Malam-Hari-Shutterstock_176963621.jpg,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acilaz
Acitral,Acitral,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Pencernaan & Diare,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acitral
Acitretin,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/fUaqKLGZErrtJtSWIATAk/original/097074300_1540808107-8-Makanan-Ini-Picu-Psoriasis-By-MK-photograp55-Shutterstock.jpg,https://www.klikdokter.com/obat/obat-kulit/acitretin
Aclam,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antibiotik/aclam
Aclasta,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/WjG2T93zuW-OiP1gm2_0V/original/059402000_1540171056-Ketahui-4-Penyebab-Osteoporosis-By_Alex-Mit-Shutterstock.jpg,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/aclasta
Aclonac,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antinyeri/aclonac
Acnacare Plus,,", dan Efek Samping"",""meta_description"":""Informasi lengkap obat Vitamin B Kompleks IPI; Harga, Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""type"":""obat"",""media_images"":[{""original"":""https://asset-cdn.medkom",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/acnacare-plus
Acne Feldin,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/ikOIgzWCDQysRszO2_1O-/original/084786200_1596697014-Obat-jerawat-shutterstock_1097602553.jpg,https://www.klikdokter.com/obat/obat-kulit/acne-feldin
Acnebenz,,", Dosis, Cara Penggunaan dan Efek Samping"",""meta_description"":""Ingin tau Gentamicin obat apa, cari tau Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-s",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis, cara penggunaan dan efek samping"",""meta_description",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kulit/acnebenz
Acnebenz CL,,", Dosis, Cara Penggunaan dan Efek Samping"",""meta_description"":""Ingin tau Gentamicin obat apa, cari tau Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-s",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis, cara penggunaan dan efek samping"",""meta_description",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kulit/acnebenz-cl
Acnelia,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/acnelia
Acnes Creamy Wash,,", Cara memakai, penyimpanan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", cara memakai, penyimpanan, efek samping, dan lainnya di si",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnes-creamy-wash
Acnes Sealing Jell,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/i6tWjMj9nUUB2yERzP22I/original/4u1fg7picca6e6axeloleb0omkhxk3kz.png,https://www.klikdokter.com/obat/obat-kulit/acnes-sealing-jell
Acnes Spot Care,,", Dosis &amp; Cara pakai, Kandungan, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara pakai, kandungan, dan lainnya di sini."" d",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnes-spot-care
Acnes Washing Bar,,", Dosis &amp; Cara pakai, Kandungan, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara pakai, kandungan, dan lainnya di sini."" d",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnes-washing-bar
Acnol Lotion,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnol-lotion
Acnosil,,", Dosis, Cara Penggunaan dan Efek Samping"",""meta_description"":""Ingin tau Gentamicin obat apa, cari tau Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-s",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis, cara penggunaan dan efek samping"",""meta_description",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kulit/acnosil
Acpulsif,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Pencernaan & Diare,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acpulsif
Acran,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Pencernaan & Diare,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/VHEKmvr-GJpvAlr6iKELg/original/019004700_1600326449-Asam-Lambung-Naik-shutterstock_756954385.jpg,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acran
Acrios,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-diabetes/acrios
Acrivastine,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/MQxIPxHxdgP0wb6LCCKHD/original/054589600_1483459999-Apa-Beda-Kulit-Berjamur-dan-Kulit-Alergi.jpg,https://www.klikdokter.com/obat/obat-alergi/acrivastine
Act-HIB,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/act-hib
Actabone,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/actabone
Actalipid,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kolesterol/actalipid
Actapin,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-hipertensi/actapin
Actaxon,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antibiotik/actaxon
Actemra,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/6xgx-BGuf74tc2cCZUE1X/original/049703700_1625734481-Actemra.jpg,https://www.klikdokter.com/obat/obat-antiinflamasi/actemra
Acticoat,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-diabetes/acticoat
Acticoat Flex 3,,", Dosis, dan Efek Samping"",""slug"":""naviblef-wipes-manfaat-dosis-dan-efek-samping"",""short_desc"":""Naviblef Wipes adalah tisu steril untuk membersihkan kotoran di sekitar bulu mata dan kelopak mata akibat peradangan, alergi, atau gangguan mata seperti infestasi demodex. Hanya untuk pemakaian luar."",""ur",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,alergi; mata,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/alat-kesehatan/acticoat-flex-3
Actifed,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/61xpqiTF_SDB4Sdx6NwMt/original/1676017637-Actifed.jpg,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/actifed
Actifed Plus Cough Suppressant,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/actifed-plus-cough-suppressant
Actifed Plus Expectorant,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/actifed-plus-expectorant
Actilyse,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-gangguan-darah/actilyse
Active Calcium,,", dan Efek Samping"",""meta_description"":""Informasi lengkap obat Vitamin B Kompleks IPI; Harga, Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""type"":""obat"",""media_images"":[{""original"":""https://asset-cdn.medkom",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/active-calcium
Actonel,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/zDlCLE_6pdCEssN7n3CGl/original/045647200_1586401890-osteoporosis_dipicu_karena_diet.jpg,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/actonel
Actoplus Met,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/category-topic/NlQa_nCoJXbFjZezl_H3q/original/1660449051-Diabetes2.png,https://www.klikdokter.com/obat/obat-diabetes/actoplus-met
Actos,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-diabetes/actos
Actosmet,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-diabetes/actosmet
Actrapid HM,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-diabetes/actrapid-hm
Acuatim Cream,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antibiotik/acuatim
