name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
Alco,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/alco
Alco Plus,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/alco-plus
Alco Plus DMP,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/alco-plus-dmp
Alcon Tears Naturale II,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Mata & Telinga,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-mata/alcon-tears-naturale-ii
Aldactone,,", Dosis, dan Efek Samping"",""meta_description"":""Mediresix adalah obat yang mengandung furosemide untuk mengatasi hipertensi dan pembengkakan pada jaringan. Ini dosis minum, manfaat, dan efek sampingnya."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis, dan efek samping"",""meta_description"":""mediresix ada",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-hipertensi/aldactone
Aldisa SR,,", dan Cara Menggunakann",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dan cara menggunakann",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/iY1Jwg1Okva6OjcobAYzp/original/v4gllu1gl2q1dre2hy5s4q7pwtvk4q1s.png,https://www.klikdokter.com/obat/obat-alergi/aldisa-sr
Aldomer,,", Dosis, dan Efek Samping"",""meta_description"":""Clorilex adalah obat dengan kandungan clozapine yang menjadi terapi Skizofrenia terutama pada pasien yang tidak responsif terhadap neuroleptik klasik."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis, dan efek samping"",""meta_description"":""clorilex adal",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-gangguan-saraf-pusat/aldomer
Alegat,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/alegat
Alegi,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/alegi
Alegysal,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Mata & Telinga,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-mata/alegysal
Alena,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kesehatan-mental/alena
